duration,pid,name
140.8890000012093,4912,ndroid.launcher
106.19700000000876,1721,system_server
95.62800000014704,768,surfaceflinger
94.28199999973685,790,aptouch_daemon
67.04499999989366,11675,adbd
61.948999999799526,725,composer@2.2-se
38.98699999956534,692,kworker/u16:6
36.83199999994713,373,kworker/u16:4
34.782000000859625,256,kworker/u16:2
17.187000000092212,3132,m.huawei.iaware
16.23299999948813,319,irq/217-thp
15.855000000385644,506,servicemanager
13.664000000005672,505,logd
12.234000000091783,977,chargemonitor
11.406999999849177,3153,m.android.phone
10.697000000106982,756,perfgenius@2.0-
10.556000000008225,1261,hisi_hcc
9.323999999992338,935,hiview
8.616999999787822,4286,sugov:0
7.819999999981064,2680,ndroid.systemui
6.804999999928896,5086,i.engineservice
6.712000000447915,9,rcu_preempt
6.59099999990076,4287,sugov:4
6.585999999913383,245,kworker/u17:1
6.181999999967047,908,thermal-daemon
6.1190000000692635,11700,logcat
6.076999999891086,302,hisi-drg
5.752999999970143,94,spi3
5.495000000053096,685,Binder:685_3
4.886000000169588,773,powerlogd
3.9830000000620203,717,suspend@1.0-ser
3.9810000000102264,927,hiaiserver
3.8999999999305146,11668,kworker/4:3
3.6970000002156667,11558,kworker/0:0
3.5719999999059837,923,sensors@1.2-ser
3.3360000001039225,8296,i.hwvoipservice
2.588000000116608,130,kworker/u17:0
2.4690000000191503,918,hwpged
2.345999999874948,889,AGPService
2.270999999950618,25,ksoftirqd/2
2.248000000236061,8,ksoftirqd/0
2.228000000002339,86,khungtaskd
2.0740000000500913,1,init
1.9960000000764921,892,displayenginese
1.974999999845295,11858,transport
1.8849999999019929,4479,droid.gallery3d
1.8749999998135536,72,mailbox-16
1.8010000000003856,507,hwservicemanage
1.7390000001000772,1030,kworker/u16:11
1.6749999999774445,2792,ei.systemserver
1.6639999998346866,10,rcu_sched
1.6319999999723223,3806,m.huawei.nearby
1.529999999888787,751,iawareperf@1.0-
1.381999999978234,4606,reader.activity
1.1339999999790962,1138,wlan_bus_rx/pci
1.081000000056065,37,ksoftirqd/4
0.9279999998739186,31,ksoftirqd/3
0.9069999999837819,43,ksoftirqd/5
0.8829999999875326,727,memtrack@1.0-se
0.8669999999710853,909,wificond
0.8349999999950342,2895,manager:service
0.7330000000820291,12,migration/0
0.7239999999910651,3488,uawei.hwid.core
0.7210000000554828,1136,pci_rx_hi_task
0.720999999941796,11328,bms_heating
0.7049999999821921,5554,.huawei.profile
0.7009999999922911,906,Binder:906_2
0.6960000000049149,11476,hwid.container3
0.6659999999669708,3695,id.thememanager
0.6599999999821193,2975,com.huawei.lbs
0.6529999999997926,4288,sugov:6
0.5750000000261934,7913,.huawei.fastapp
0.5510000000299442,894,dubaid
0.5509999999162574,757,power@1.0-servi
0.5229999999869506,19,ksoftirqd/1
0.5100000000197724,1158,hisi_frw/0
0.5079999999679785,2646,wpa_supplicant_
0.49299999989216303,11275,kworker/3:0
0.4870000000209984,5635,m.huawei.hwddmp
0.45800000003737296,11336,kworker/2:0
0.44000000002597517,49,ksoftirqd/6
0.37799999995513645,6013,m.android.shell
0.3600000000005821,6807,huawei.calendar
0.35900000011679367,7175,modemchr
0.35699999995131293,11592,wei.securitymgr
0.35499999995636244,9422,awei.trustspace
0.3490000000283544,9121,.huawei.mmitest
0.34799999997403575,4547,com.android.nfc
0.34200000021655796,877,main
0.3379999999992833,8085,p.app.launcher0
0.3379999999992833,3624,droid.bluetooth
0.3140000000030341,1100,kworker/1:2
0.312000000064927,3228,id.totemweather
0.29799999998658677,3894,id.instantshare
0.28300000002445813,3444,d.process.acore
0.2590000000282089,4705,m.huawei.hidisk
0.24300000001176159,7942,ndroid.keychain
0.24300000001176159,4176,ent.PushService
0.23299999998016574,174,kauditd
0.23100000004205867,5148,.huawei.skytone
0.2299999999308966,11348,.hwdetectrepair
0.22899999999026477,4242,ndroid.incallui
0.22599999999783904,6146,dsdscardmanager
0.22000000001298758,6231,awei.android.ds
0.21900000001551234,1958,oam_hisi
0.21900000001551234,8930,ger:nightcharge
0.21500000002561137,6108,i.systemmanager
0.21500000002561137,5468,viders.calendar
0.21300000003066089,3087,m.huawei.hiview
0.21299999997381747,5840,ce:globalsearch
0.2110000000357104,7246,oguploadservice
0.20999999998139174,3046,awei.HwOPServer
0.20599999999149077,3116,.securityserver
0.20599999993464735,11391,file-storage
0.20200000005843322,2689,ndroid.settings
0.2000000000066393,7619,roid.AutoRegSms
0.1999999999497959,7007,kytone.provider
0.19000000003188688,5044,m.huawei.recsys
0.18699999998261774,18,migration/1
0.18599999992829908,7209,oid.UEInfoCheck
0.18199999999524152,9782,ei.hiviewtunnel
0.15799999999899228,9301,tencent.mm:push
0.14500000003181412,48,migration/6
0.14299999998002022,331,core_ctl/6
0.1420000000393884,7365,com.tencent.mm
0.12099999997872146,24,migration/2
0.11799999998629573,594,atrace@1.0-serv
0.1120000000582877,11669,kworker/5:0
0.11200000000144428,317,hw_kstate
0.0989999999774227,103,hwxcollie
0.09599999998499698,262,kworker/0:1H
0.08099999996602492,759,wifi@1.1-servic
0.07799999997359919,59,bbox_main
0.04799999999249849,36,migration/4
0.042999999948278855,54,migration/7
0.02599999999119973,23,watchdog/2
0.024999999993724487,17,watchdog/1
0.023999999996249244,29,watchdog/3
0.022999999998774,14,watchdog/0
0.01500000001897206,30,migration/3
0.013000000024021574,11532,kworker/6:0
0.010000000031595846,41,watchdog/5
0.009999999974752427,35,watchdog/4
