300000,576000,614400,864000,1075200,1363200,1516800,1651200,1804800,652800,940800,1152000,1478400,1728000,1900800,2092800,2208000,806400,1094400,1401600,1766400,1996800,2188800,2304000,2400000,
0,0,0.075141,0.261589,0.01464,0.02456,0.074451,0,17.697262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0.078085,0.260329,0.023927,0.022453,0.074402,0,17.711711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0.080365,0.23923,0.024816,0.017185,0.073625,0,17.665245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0.064663,0.243186,0.017668,0.029309,0.048857,0,17.62745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0.019911,0.042633,0.01,0.011995,0,0,17.637785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0.09371,0.00836,0,0,0,17.701461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0.380769,0.358,0.893101,0.395898,2.975633,1.483876,8.748522,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263364,0.372256,0.421109,0.556764,0.616435,0.687449,0.428168,12.184605,15.53015
,,,,,,,,,,,,,,,,,1.69582393,2.396989083,2.711557841,3.585052301,3.969279112,4.426544496,2.757011362,78.45774188,
